anime_id,name,genre,type,episodes,rating,members
4071,Black Jack (TV): Hizouban Specials,Adventure,Special,2,7.29,1707
6954,Kara no Kyoukai: Shuushou,Mystery,Special,1,7.29,45718
34178,Inazuma Eleven: Outer Code,Sports,ONA,Unknown,7.28,1072
4134,Naruto Shippuuden: Shippuu! &quot;Konoha Gakuen&quot; Den,Comedy,Special,1,7.28,34056
5397,Usavich III,Comedy,TV,13,7.28,3038
17819,Kyoto Animation: Suiei-hen,Sports,Special,1,7.27,8347
4705,Tengen Toppa Gurren Lagann: Parallel Works,Music,Music,8,7.27,22213
4586,Daisuki! BuBu ChaCha,Kids,TV,26,7.26,800
2659,Doraemon Movie 14: Nobita to Buriki no Labyrinth,Fantasy,Movie,1,7.26,1181
27567,Fushigi Yuugi Special: Nakago Shikkari Shinasai!,Comedy,Special,2,7.25,943
3624,Seimei no Kagaku: Micro Patrol,Adventure,TV,26,7.26,801
22859,Takanashi Rikka Kai: Chuunibyou demo Koi ga Shitai! Movie Lite,Comedy,Special,1,7.26,13238
22359,Sanzoku no Musume Ronja,Adventure,TV,26,7.25,15236
8909,Tales of Symphonia The Animation: Tethe&#039;alla-hen Specials,Comedy,Special,4,7.25,5067
24973,Bokura wa Minna Kawaisou Specials,Comedy,Special,14,7.23,7292
13561,Guilty Crown: 4-koma Gekijou,Comedy,Special,11,7.23,13053
23361,Bakuman. 3rd Season Specials,Comedy,Special,2,7.22,6765
2937,Bishoujo Senshi Sailor Moon R: Make Up! Sailor Senshi,Shoujo,Special,1,7.22,10441
4286,Bonobono (TV),Comedy,TV,48,7.22,418
5983,Higepiyo,Comedy,TV,39,7.22,4427
4156,Ichigo Mashimaro Episode 0,Comedy,Special,1,7.21,9610
9733,The TV Show,Music,Music,1,7.21,2066
9907,Bokura no Live Kimi to no Life,Music,Music,1,7.2,10426
15159,Fantastic Children Special,Slice of Life,Special,1,7.2,873
6909,Jungle Taitei: Yuuki ga Mirai wo Kaeru,Adventure,Special,1,7.19,1163
5279,Sekirei: Hajimete no Otsukai,Comedy,Special,1,7.19,32430
12709,Tales of Symphonia The Animation: Sekai Tougou-hen Specials,Comedy,Special,3,7.19,3692
33080,Brotherhood: Final Fantasy XV,Action,ONA,5,7.18,29445
7654,Tokyo Magnitude 8.0 Recap,Drama,Special,1,7.18,4257
23237,Chuunibyou demo Koi ga Shitai! Ren Specials,Comedy,Special,7,7.17,20337
19067,Future Card Buddyfight,Game,TV,64,7.17,3417
10108,Ore no Imouto ga Konnani Kawaii Wake ga Nai: SD Chara ni Yoru Character Commentary,Comedy,Special,16,7.16,14917
2891,Iblard Jikan,Fantasy,OVA,1,7.15,11116
33242,IS: Infinite Stratos 2 - Infinite Wedding,,Special,1,7.15,6604
32030,MEMORiES MELODiES,Music,Music,1,7.15,699
4742,Papa to Odorou,Comedy,TV,16,7.14,567
3493,Ryuusei no Rockman Tribe,Adventure,TV,21,7.14,3510
19697,Toaru Kagaku no Railgun S: Motto Marutto Railgun,Comedy,Special,2,7.14,14807
23425,Karneval Specials,Comedy,Special,11,7.13,4415
10276,Prince of Tennis: Mini Theater,Comedy,Special,3,7.13,3010
30896,Love Live! School Idol Project: μ&#039;s →NEXT LoveLive! 2014 - Endless Parade Encore Animation,Comedy,Special,1,7.13,1733
3332,Stop!! Hibari-kun!,Comedy,TV,35,7.12,1355
9673,Ura Tegamibachi,Comedy,Special,25,7.12,3326
32607,Gi(a)rlish Number,Slice of Life,TV,12,7.11,35072
11487,Sekiranun Graffiti,Music,Music,1,7.11,4014
31368,Grisaia no Rakuen Specials,Ecchi,Special,5,7.09,15055
32700,Heart Realize,Music,Music,1,7.09,1626
3811,Hoshi no Oujisama Petit Prince,Adventure,TV,39,7.09,736
17635,Koitabi: True Tours Nanto,Romance,Special,6,7.09,7452
10720,Korekuraide Utau,Music,Music,1,7.09,1395
6884,Ookami to Koushinryou II Specials,Fantasy,Special,2,7.09,34903
3847,Sekai Meisaku Douwa: Hakuchou no Ouji,Fantasy,Movie,1,7.09,809
6902,Saikyou Bushouden: Sangoku Engi,Historical,TV,52,7.07,1363
4810,Shinzou Ningen Casshern,Action,TV,35,7.07,2822
30903,Children Record,Music,Music,2,7.06,745
11809,gdgd Fairies,Comedy,TV,12,7.06,2284
673,Mai-HiME Specials,Comedy,Special,27,7.06,9210
32468,Nirvana,Music,Music,1,7.06,1760
21409,The iDOLM@STER Cinderella Girls 2nd Anniversary PV,Music,Music,1,7.06,2408
19845,Ore no Imouto ga Konnani Kawaii Wake ga Nai.: SD Chara ni Yoru Short Movie,Comedy,Special,13,7.05,6311
15673,Tell Your World,Music,Music,1,7.05,2630
2280,Hare Tokidoki Buta (TV),Comedy,TV,61,7.04,607
580,Kogepan,Comedy,TV,10,7.04,4436
30514,Nisekoimonogatari,Music,ONA,1,7.04,17116
31559,Prince of Stride: Alternative,Sports,TV,12,7.04,79630
23369,Bakuman. 2nd Season Special,Comedy,Special,1,7.02,6812
8440,Black Lagoon Omake,Comedy,Special,7,7.02,33923
10116,Crayon Shin-chan Movie 19: Arashi wo Yobu Ougon no Spy Daisakusen,Comedy,Movie,1,7.02,795
3519,Garakuta-doori no Stain,Comedy,TV,13,7.02,641
8677,Sangokushi (1985),Historical,Special,1,7.02,231
2715,Totsuzen! Neko no Kuni Banipal Witt,Adventure,Movie,1,7.02,1138
5136,Flag Director&#039;s Edition: Issenman no Kufura no Kiroku,Action,Movie,1,7.01,987
5043,Hurricane Live! 2032,Music,Special,6,7.01,1039
6246,Black Jack: Sora kara Kita Kodomo,Drama,OVA,1,7,1595
2274,CLAMP in Wonderland,Music,Music,1,6.99,12267
1841,Dai Mahou Touge Omake,Comedy,Special,4,6.99,5579
5891,Kousoku Denjin Albegus,Mecha,TV,45,6.99,698
20889,Kuro no Sumika: Chronus,Psychological,Movie,1,6.99,12270
9884,Osomatsu-kun,Comedy,TV,56,6.99,1322
2646,Dorami &amp; Doraemons: Robot School&#039;s Seven Mysteries,Fantasy,Movie,1,6.98,569
30039,Future Card Buddyfight 100,Game,TV,50,6.98,1365
8092,Bakumatsu no Spasibo,Historical,Movie,1,6.97,647
25045,Barakamon: Mijikamon,Comedy,ONA,13,6.97,18119
25907,Glass no Hana to Kowasu Sekai,Sci-Fi,Movie,1,6.97,17105
1501,Kaleido Star: Good da yo! Goood!!,Comedy,OVA,1,6.97,5044
10346,Ring ni Kakero 1: Sekai Taikai-hen,Sports,TV,6,6.96,566
8023,Toaru Kagaku no Railgun: Motto Marutto Railgun,Comedy,Special,2,6.96,26302
2728,TWO-MIX: White Reflection,Music,Music,1,6.96,1708
33589,ViVid Strike!,,TV,12,6.96,12345
29101,Grisaia no Kajitsu Specials,Ecchi,Special,6,6.95,26747
10348,Fireball Charming,Sci-Fi,TV,13,6.94,5640
13281,FlashBack,Music,Music,1,6.94,1508
3367,Furusato Japan,Historical,Movie,1,6.94,1464
5249,Mitsume ga Tooru,Adventure,TV,48,6.94,383
2316,Akakichi no Eleven,Sports,TV,52,6.93,957
4856,Fuuma no Kojirou: Fuuma Hanran-hen,Action,OVA,1,6.93,549
6199,Mai-Otome Zwei Special,Magic,Special,1,6.93,2512
9883,Osomatsu-kun (1988),Comedy,TV,86,6.93,1723
10513,Usavich IV,Comedy,TV,13,6.93,1660
5104,Andes Shounen Pepero no Bouken,Adventure,TV,26,6.92,423
4854,Fuuma no Kojirou: Yasha-hen,Action,OVA,6,6.92,819
3646,Glass no Usagi,Historical,Movie,1,6.92,1151
33037,Tsukiuta. The Animation,Music,TV,13,6.92,11183
13053,Aimai Elegy,Music,Music,1,6.91,1646
4855,Fuuma no Kojirou: Seiken Sensou-hen,Action,OVA,6,6.91,690
33420,RESTART POiNTER,Music,Music,1,6.91,364
7245,Sekai Meisaku Douwa: Wow! Maerchen Oukoku,Fantasy,TV,26,6.91,227
4804,To Heart 2 AD Plus,Romance,OVA,2,6.91,3772
2938,Idol Densetsu Eriko,Music,TV,51,6.9,1776
8062,Mai-HiME: Kuro no Mai/Saigo no Bansan,Comedy,Special,1,6.9,4093
1597,Panyo Panyo Di Gi Charat,Comedy,TV,48,6.89,3207
33031,Shakunetsu no Takkyuu Musume,Sports,TV,12,6.89,14465
1755,Di Gi Charat Ohanami Special,Comedy,Special,4,6.88,1553
21879,Sword Art Online: Sword Art Offline - Extra Edition,Comedy,Special,1,6.88,27380
22513,Freely Tomorrow,Music,Music,1,6.87,1199
25897,Love Live! School Idol Project: μ&#039;s →NEXT LoveLive! 2014 - Endless Parade Makuai Drama,Comedy,Special,3,6.87,5282
3618,Moyashimon: Kin Gekijou Deluxe,Comedy,Special,4,6.87,4783
7016,Senjou no Valkyria: SenVal Theater,Comedy,Special,9,6.87,8006
12659,Nisoku Hokou,Music,Music,1,6.86,1116
25259,Persona 4 the Animation: A Brief Lesson on Izanagi &amp; Izanami,School,Special,1,6.86,2497
20843,"Senki Zesshou Symphogear G: In the Distance, That Day, When the Star Became Music... Specials",Comedy,Special,2,6.86,4645
22759,Toaru Kagaku no Railgun S: Daiji na Koto wa Zenbu Sentou ni Osowatta,Comedy,OVA,1,6.86,13119
15547,Cross Fight B-Daman eS,Kids,TV,52,6.85,711
2934,Shiawase Sou no Okojo-san,Comedy,TV,51,6.85,1138
13755,Feeling from Mountain and Water,Music,Movie,1,6.82,437
5036,Hurricane Live! 2033,Music,Special,7,6.84,972
21835,Majin Bone,Game,TV,52,6.84,6836
10532,Working&#039;!! Announcement Specials,Comedy,ONA,2,6.84,8973
24823,Days,Music,Music,1,6.83,2907
1756,Di Gi Charat Natsuyasumi Special,Comedy,Special,4,6.83,1609
8705,Phantom: Requiem for the Phantom Picture Drama,Comedy,Special,12,6.83,4368
7229,Black Jack ONA,Drama,ONA,12,6.82,1297
6855,Da Nao Tiangong,Adventure,Movie,1,6.82,342
32946,Gyakuten Saiban 6 Prologue,Mystery,ONA,1,6.81,1108
6958,Hyakko OVA,Comedy,OVA,1,6.82,8206
11177,Cross Fight B-Daman,Adventure,TV,52,6.81,1921
1757,Di Gi Charat Christmas Special,Comedy,Special,1,6.81,2041
8187,Fumiko no Kokuhaku,Comedy,ONA,1,6.81,13829
21541,Hentai Ouji to Warawanai Neko.: Henneko BBS,Comedy,Special,13,6.81,15586
16964,Inazuma Eleven Go: TCG CM NG-shuu,Comedy,Special,1,6.81,898
15431,Natsu-iro Kiseki: 15-kaime no Natsuyasumi,Slice of Life,OVA,1,6.81,5295
12455,Yuu☆Yuu☆Hakusho: Mu Mu Hakusho,Comedy,OVA,4,6.81,3670
8632,Chuuzumou,Comedy,Movie,1,6.8,988
1758,Di Gi Charat Tsuyu Specials,Comedy,Special,2,6.8,963
3355,Fortune Dogs,Adventure,TV,39,6.8,400
27857,Madan no Ou to Vanadis: Tigre-kun to Vanadi-chu,Comedy,ONA,14,6.8,8472
2628,"The☆Doraemons: Strange, Sweets, Strange?",Fantasy,Movie,1,6.8,432
6670,8-gatsu no Symphony: Shibuya 2002-2003,Music,Movie,1,6.79,789
5936,Hashire! Shiroi Ookami,Drama,Movie,1,6.79,485
9001,Je T&#039;aime,Sci-Fi,OVA,1,6.79,3830
17731,Ketsuekigata-kun!,Comedy,TV,12,6.79,6331
25241,Akame ga Kill! Theater,Comedy,ONA,24,6.78,26852
1752,Di Gi Charat: Hoshi no Tabi,Comedy,Movie,1,6.78,1973
4050,Kouchuu Ouja Mushiking: Mori no Tami no Densetsu,Fantasy,TV,52,6.78,1108
9519,Medaka no Gakkou,Comedy,OVA,5,6.78,434
6666,Passion,Music,Music,1,6.78,2100
23439,Toki wa Meguru: Tokyo Station,Slice of Life,ONA,1,6.78,2862
28063,Sword Art Online II: Sword Art Offline II,Comedy,Special,9,6.77,19677
13263,Fate/Zero: Onegai! Einzbern Soudanshitsu,Comedy,Special,6,6.76,19326
8783,Nezha Nao Hai,Kids,Movie,1,6.76,255
12699,Tales of Gekijou,Comedy,Special,5,6.76,2853
31521,Ushinawareta Mirai wo Motomete: Ushinawareta Natsuyasumi wo Motomete,Romance,Special,1,6.76,3437
16906,Line Offline: Salaryman,Comedy,TV,114,6.75,1190
28619,Ranpo Kitan: Game of Laplace,Mystery,TV,11,6.75,66777
4173,Shigofumi Picture Drama,Comedy,Special,7,6.75,2804
12935,Utakata Hanabi,Music,Music,1,6.75,1375
2467,3 Choume no Tama: Uchi no Tama Shirimasenka?,Adventure,TV,35,6.74,967
5016,Fluximation,Music,Music,14,6.74,2240
28207,Ketsuekigata-kun! 2,Comedy,TV,12,6.74,2265
6975,Koro no Dai Sanpo,Adventure,Special,1,6.74,1055
32730,Love Live! x Watering KissMint Collaboration CM,Music,Special,1,6.73,1729
25117,Ryuugajou Nanana no Maizoukin (TV) Specials,Comedy,Special,6,6.74,3689
1958,Wish,Music,Music,1,6.74,5321
17493,Ashita Genki ni Nare!: Hanbun no Satsumaimo,Drama,Movie,1,6.74,365
6728,Helen Keller Monogatari: Ai to Hikari no Tenshi,Drama,Movie,1,6.73,285
9362,Hyakka Ryouran: Samurai Girls Specials,Ecchi,Special,6,6.73,15446
9495,Inochi no Chikyuu: Dioxin no Natsu,Drama,Movie,1,6.73,335
20391,Hidamari Sketch: Chou Hidamatsuri Special,Comedy,Special,1,6.72,1496
31344,K: Missing Kings - Manner Movie,Comedy,Movie,1,6.72,3235
2733,Mobile Police Patlabor: MiniPato,Parody,OVA,3,6.72,1831
2282,Tezuka Osamu no Kyuuyaku Seisho Monogatari: In the Beginning,Historical,TV,26,6.72,444
3874,Ashita e Free Kick,Sports,TV,52,6.71,1012
1754,Di Gi Charat Summer Special 2000,Comedy,Special,4,6.7,1685
20613,Viva Namida,Music,Music,1,6.7,2376
6533,Atarashii Sekai,Music,Music,1,6.69,1477
32511,Girls und Panzer: Nihon Senshadou Renmei News,Comedy,Special,2,6.69,1134
2211,Jumping,Adventure,Movie,1,6.69,2341
4112,Mouse and His Child,Adventure,Movie,1,6.69,211
6137,Tsuki no Waltz,Music,Music,1,6.69,1499
29255,Ghost in the Shell Arise Episode: [.jp],Action,Special,1,6.68,2209
7875,Kanokon: Manatsu no Dai Shanikusai Specials,Ecchi,Special,2,6.68,10513
2568,Kojika Monogatari,Drama,TV,52,6.68,291
21451,Nihonbashi Koukashita R Keikaku,Music,Music,1,6.68,1325
5957,Nyoro-n Churuya-san,Comedy,ONA,13,6.68,21340
31048,Burenai Ai de,Music,Music,1,6.67,522
5147,Comic Party Revolution OVA,Comedy,OVA,4,6.67,2237
7775,Futatsu no Kurumi,Drama,Special,1,6.67,552
9916,Samurai Giants,Sports,TV,46,6.67,319
3389,Bus Gamer,Action,TV,3,6.66,20550
2895,Kujiratori,Adventure,Movie,1,6.66,1572
12661,Light Lag,Music,Music,1,6.66,891
32446,MONSTER GENERATiON,Music,Music,1,6.66,468
31144,Mottainai,Slice of Life,Special,1,6.66,2234
12437,Yuri Seijin Naoko-san (2012),Comedy,OVA,1,6.66,6578
15951,Amagami SS+ Plus Picture Drama,Romance,Special,2,6.65,8232
9558,Cheung gong chat hou,Kids,Movie,1,6.65,215
9900,Hamster Club,Kids,TV,140,6.65,318
11583,Kami nomi zo Shiru Sekai: Natsu-iro Surprise,Music,Music,1,6.65,5772
23943,Mobile Suit Gundam Unicorn: One of Seventy Two,Mecha,Special,1,6.65,889
32190,Omoi no Kakera,Slice of Life,Special,1,6.65,2301
17913,Redial,Music,Music,1,6.66,1710
17092,Dallyeola Hani,Sports,TV,13,6.64,209
21241,Kyoukai no Kanata: Idol Saiban! Mayoi Nagara mo Kimi wo Sabaku Tami,Comedy,ONA,5,6.64,19389
6368,Legend of Regios,Magic,Special,3,6.64,6194
9531,Tezuka Osamu Monogatari: Boku wa Son Gokuu,Adventure,Special,1,6.64,244
33377,Trickster: Edogawa Ranpo &quot;Shounen Tanteidan&quot; yori,Mystery,TV,24,6.64,52260
30056,Amagi Brilliant Park: Wakuwaku Mini Theater - Rakugaki Backstage,Comedy,Special,7,6.63,14515
13253,Blossom,Music,Movie,1,6.63,2825
6472,Gakkou no Kowai Uwasa: Hanako-san ga Kita!!,Horror,TV,35,6.63,637
2617,Ghiblies,Comedy,Special,2,6.63,3230
30088,Ryoutei no Aji,Slice of Life,Special,4,6.63,538
5583,Sonic: Night of the WereHog,Action,ONA,1,6.63,3424
30953,Arslan Senki (TV) Specials,Comedy,Special,8,6.62,5241
5449,Chibi Kero: Kerobouru no Himitsu!?,Comedy,Special,1,6.62,625
33145,Detective Conan: Nazo no Suisei Kaijuu wo Oe!,Mystery,OVA,1,6.62,976
3842,Doubutsu Takarajima,Adventure,Movie,1,6.62,818
32561,Hai to Gensou no Grimgar Special,Comedy,Special,1,6.62,18358
9203,K-On!!: Ura-On!!,Comedy,Special,9,6.62,23216
11507,Kami nomi zo Shiru Sekai: Nonstop!! Hunters,Music,Music,1,6.62,6634
15279,Kira Kira 5th Anniversary Live Anime: Kick Start Generation,Music,OVA,1,6.62,1381
32031,Leopard Eyes,Music,Music,1,6.62,473
4481,Saiyuuki,Adventure,Movie,1,6.62,1175
2626,The☆Doraemons: Mushimushi Pyonpyon Daisakusen!,Fantasy,Movie,1,6.62,479
16347,Usavich V,Comedy,TV,13,6.62,985
28921,Disney Tsum Tsum,Kids,TV,Unknown,6.61,359
12351,eX-Driver the Movie Specials,Comedy,Special,3,6.61,497
34009,To Be Hero,Comedy,TV,12,6.61,14718
20987,Yozakura Quartet: Yoza-Quar!,Comedy,Special,6,6.61,4545
14317,Computer Kakumei: Saikyou x Saisoku no Zunou Tanjou,Sci-Fi,Special,1,6.6,5171
30237,Hyakka Ryouran: Samurai After Specials,Ecchi,Special,2,6.6,3703
32481,Love Live! Kouhaku Special Anime,Music,Special,1,6.59,1291
9795,Atashin&#039;chi Movie,Comedy,Movie,1,6.59,260
3776,Go! Go! Itsutsugo Land,School,TV,50,6.59,393
11221,Machikado no Märchen,Romance,OVA,1,6.59,333
17637,Miyakawa-ke no Kuufuku,Slice of Life,ONA,10,6.59,12077
2047,Ningyo,Fantasy,Movie,1,6.59,2265
21103,Utopia,Music,Music,1,6.59,3519
30573,Break Blade: Virgins War,Action,Special,1,6.58,1876
33240,Chi&#039;s Sweet Home (2016),Slice of Life,TV,Unknown,6.57,3437
6518,Eiga de Toujou! Tamagotchi Dokidoki! Uchuu no Maigotchi!?,Kids,Movie,1,6.58,312
4760,Kanokon Specials,Ecchi,Special,12,6.58,19232
6310,Kinnikuman II Sei: Second Generations,Comedy,Movie,1,6.58,459
8496,Neko Neko Fantasia,Comedy,OVA,1,6.58,187
5819,Tori no Uta,Fantasy,OVA,1,6.58,2426
19081,Weekender Girl,Music,Music,1,6.58,1174
8815,Domo TV,Comedy,TV,26,6.57,832
8332,Kudan,Fantasy,Movie,1,6.57,189
7496,Saiyuuki: Son Gokuu Monogatari,Adventure,Movie,1,6.57,574
6705,Tayutayu: Pure My Heart,Comedy,Special,6,6.57,4876
12497,Garakuta-doori no Stain: Epilogue,Comedy,OVA,1,6.56,181
34213,Getsuyoubi no Tawawa,Slice of Life,ONA,12,6.56,16663
7601,Mashin Eiyuuden Wataru: Owarinaki Toki no Monogatari,Fantasy,OVA,3,6.56,318
23605,Ninja Slayer From Animation,Action,ONA,26,6.56,26062
3758,Panda no Daibouken,Adventure,Movie,1,6.56,300
5238,Chocolate Underground: Bokura no Chocolate Sensou,Adventure,Movie,1,6.55,1432
3683,Kabatotto,Comedy,TV,300,6.55,240
31566,Ketsuekigata-kun! 3,Comedy,TV,12,6.55,1317
32274,Ketsuekigata-kun! 4,Comedy,TV,12,6.55,1119
31534,Larva,Comedy,TV,26,6.57,139
3535,Neko Ramen,Comedy,ONA,13,6.55,2059
4890,Peut-etre Toi,Music,Music,1,6.55,1532
32502,BlazBlue: Alter Memory Specials,Comedy,Special,6,6.54,952
2915,Chikyuu ga Ugoita Hi,Drama,Movie,1,6.54,744
17345,Senran Kagura Specials,Ecchi,Special,6,6.54,8282
10849,Shinryaku! Ika Musume: Ika Ice Tabena-ika?,Music,Music,1,6.54,3600
15453,Shinryaku! Ika Musume: Kore ga Umi e no Ai Jana-ika!,Music,Music,1,6.54,2162
8949,Tottoko Hamtarou OVA 2: Hamuchanzu no Takara Sagashi Daisaku - Hamuha! Suteki na Umi no Natsuyasumi,Kids,OVA,1,6.54,749
17651,Genei wo Kakeru Taiyou,Magic,TV,13,6.53,33528
4800,Huckleberry Finn Monogatari,Adventure,TV,26,6.53,665
3147,Me gumi no Daigo: Kajiba no Baka Yarou,Drama,Movie,1,6.53,490
5272,Tondemo Nezumi Daikatsuyaku,Adventure,Movie,1,6.53,252
5917,Tsuru ni Notte: Tomoko no Bouken,Drama,Movie,1,6.53,321
7659,Aisubeki Mirai e,Music,Music,1,6.52,966
23831,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari - Magica Quartet x Nisioisin,Comedy,Movie,4,6.52,6946
13153,Renkyori Enai,Music,Music,1,6.52,719
31894,The iDOLM@STER Million Live! &quot;Dreaming!&quot; Animation PV,Music,Music,1,6.52,658
9344,Torajima no Miime,Slice of Life,Special,2,6.52,331
4099,Wolf Daddy,Fantasy,Movie,1,6.52,552
17010,Yasashii March: The Tender March,Music,Music,1,6.52,699
5848,Cinnamon the Movie,Fantasy,Movie,1,6.51,493
17813,Kyoto Animation: Megane-hen,Thriller,Special,1,6.51,5705
13283,One Off,Slice of Life,OVA,4,6.5,9299
33934,Trigger-chan,Action,ONA,1,6.51,5051
3131,Ashita Tenki ni Naare,Sports,TV,47,6.5,297
6096,Bad Boys,Comedy,OVA,5,6.5,584
18669,Black Jack: Karte NG Extras,Comedy,Special,1,6.5,612
21167,Escha &amp; Logy no Atelier: Tasogare no Sora no Renkinjutsushi,Fantasy,TV,12,6.5,37885
1361,Final Fantasy: The Spirits Within,Sci-Fi,Movie,1,6.5,53822
10262,Gag Manga Biyori: Jump Festa 2002 Special,Comedy,Special,1,6.5,513
18845,Ninja Hattori-kun (2012),Comedy,TV,52,6.5,282
4475,Toshi wo Totta Wani,Drama,Movie,1,6.5,1638
